sentence_id	sentence
5043734_1	Semantic Web: The website DBpedia, begun in 2007, extracts data from the infoboxes and category declarations of the English-language Wikipedia.
5043734_2	Wikimedia has created the Wikidata project with a similar objective of storing the basic facts from each page of Wikipedia and the other WMF wikis and make it available in a queriable semantic format, RDF.
5043734_3	As of April 2021, it has 93,337,731 items.
5043734_4	Obtaining the full contents of Wikipedia for reuse presents challenges, since direct cloning via a web crawler is discouraged.
5043734_5	"Wikipedia publishes ""dumps"" of its contents, but these are text-only; as of 2007 there was no dump available of Wikipedia's images."
5043734_6	Wikimedia Enterprise is a for-profit solution to this.
21951847_1	"Billed simply as Hannah, Waddingham placed ""Our Kind of Love"" in the UK Singles Chart in October 2000, where it peaked at No. 41."
21951847_2	She later sang the role of Starbird on the soundtrack recording of Space Family Robinson, released by Pop! Records in May 2002 to coincide with the stage production (also featuring Waddingham as Starbird) which ran for three weeks at London's Pleasance Theatre in May 2002.
62387071_1	On February 19, 2020, it was announced that principal photography would start in April 2020.
62387071_2	However, it was delayed due to the COVID-19 pandemic.
62387071_3	Filming commenced on November 18, 2020, at various locations in Boston, Massachusetts.
62387071_4	Part of the film takes place in New York City with Boston standing in as New York.
62387071_5	The movie was also filmed in other Massachusetts cities including Brockton, Framingham, and Westborough.
62387071_6	On February 5, 2021, Jennifer Lawrence was mildly injured during filming when a controlled glass explosion went awry.
62387071_7	On February 18, 2021, principal photography wrapped.
32005912_1	"The album's second single, ""Oblivion"", also received critical acclaim and was produced into a music video co-directed by Emily Kai Bock and Grimes."
32005912_2	"Pitchfork ranked ""Oblivion"" at number one on their 200 Best Tracks of the Decade So Far list in 2014."
32005912_3	In interviews following the album's release, Grimes explained that she was assigned a strict deadline by which to have her third album finished far before it was complete, resulting in her recording the bulk of Visions while isolated in her Montreal apartment for three consecutive weeks.
32005912_4	"Notably, this intensive recording session included a period of nine days without sleep or food and with blacked out windows, since she generally could not make music as readily during the day, and doing ""tons of amphetamines"" She described the writing process as being ""equally enjoyable and tortuous"", feeling that its difficulty contributed to its success."
32005912_5	In April 2013, Grimes posted a written statement addressing her experience as a female musician as rife with sexism and expressed disappointment that her feminist stance was often interpreted as anti-male.
32005912_6	"When speaking about her preference to produce all her studio albums herself, she said, ""I don't wanna be just like the face of this thing I built, I want to be the one who built it""."
32005912_7	In December 2013, Grimes employed the services of Jay-Z's management company, Roc Nation.
1256990_1	When Helen returns to Cabrini-Green, a man calling himself the Candyman attacks her.
1256990_2	She identifies her attacker, who turns out to be the head of a gang called the Overlords.
1256990_3	The police assume he is responsible for the murders.
1256990_4	The real Candyman appears to Helen in a parking garage and hypnotizes her.
1256990_5	He explains that because she has discredited his legend, he must shed innocent blood to perpetuate it.
1256990_6	Helen blacks out and awakens in Anne-Marie's apartment, covered in blood, to find Anne-Marie's pet Rottweiler decapitated and her son Anthony stolen.
1256990_7	Distraught, Anne-Marie attacks Helen, whom the police arrest while she defends herself.
637197_1	After the planes struck the buildings, but before the buildings collapsed, the cores of both towers consisted of three distinct sections.
637197_2	Above and below the impact floors, the cores consisted of what were essentially two rigid boxes; the steel in these sections was undamaged and had undergone no significant heating.
637197_3	The section between them, however, had sustained significant damage and, though they were not hot enough to melt it, the fires were weakening the structural steel.
171045_1	Downey started dating actress Sarah Jessica Parker in 1984 after meeting her on the set of Firstborn.
171045_2	The couple later separated in 1991 due to his drug addiction.
171045_3	He married actress and singer Deborah Falconer on May 29, 1992, after a 42-day courtship.
171045_4	Their son, Indio Falconer Downey, was born in September 1993.
171045_5	The strain on their marriage from Downey's repeated trips to rehab and jail finally reached a breaking point; in 2001, in the midst of Downey's last arrest and sentencing to an extended stay in rehab, Falconer left Downey and took their son with her.
171045_6	Downey and Falconer finalized their divorce on April 26, 2004.
39027_1	In another Memphis fight on February 22, 2003, Tyson beat fringe contender Clifford Etienne 49 seconds into round one.
39027_2	The pre-fight was marred by rumors of Tyson's lack of fitness.
39027_3	Some said that he took time out from training to party in Las Vegas and get a new facial tattoo.
39027_4	This eventually proved to be Tyson's final professional victory in the ring.
589853_1	Skathi takes just over 725 days to complete an orbit of Saturn and it is estimated to take 11.1±0.02 hours to rotate on its axis.
589853_2	It orbits at a greater distance from Saturn than many of the planet's other satellites, with a large orbital inclination and eccentricity, and it moves in a retrograde direction.
589853_3	Not much is known about Skathi, because it is a dim object.
589853_4	Other than Earth-based observations, it has only been observed by the Cassini probe, and even those measurements were taken at a distance of nearly 9.7 million kilometres (6 million miles).
63440118_1	Forbes published a report in August 2020 revealing that Rae earned $5 million in the last year through June from her various endorsement deals and merchandise, making her the highest-earning TikTok star.
63440118_2	Rae's TikTok success has led her to work with companies such as Reebok, L'Oréal, Hollister and American Eagle.
63440118_3	In 2020, Rae donated her $1 million in prize money from winning an all-star Mario Tennis Aces tournament called the Stay At Home Slam to the charity No Kid Hungry.
